CustomerID,Lookalikes
C0001,"[('C0137', 0.9999291789477135), ('C0152', 0.9998554710948365), ('C0107', 0.9893462467870134)]"
C0002,"[('C0142', 0.9920726369933641), ('C0177', 0.9735604391600465), ('C0043', 0.9689088449705524)]"
C0003,"[('C0133', 0.9974501506919937), ('C0052', 0.9949959402644696), ('C0192', 0.9678876469347499)]"
C0004,"[('C0113', 0.9906184644924116), ('C0102', 0.9868499995684169), ('C0108', 0.9844463789375889)]"
C0005,"[('C0159', 0.9999316844540107), ('C0186', 0.9968800126708032), ('C0007', 0.9836020157531469)]"
C0006,"[('C0158', 0.9721823024015926), ('C0168', 0.9542323965827509), ('C0187', 0.9110630380255406)]"
C0007,"[('C0159', 0.9856429138763982), ('C0005', 0.9836020157531469), ('C0115', 0.9775899624110361)]"
C0008,"[('C0109', 0.9806650275246662), ('C0139', 0.9718446104485803), ('C0098', 0.9395618134467796)]"
C0009,"[('C0062', 0.9856823344584039), ('C0198', 0.9822819208980395), ('C0121', 0.9752463415222529)]"
C0010,"[('C0199', 0.9968329080506292), ('C0121', 0.9842962944450736), ('C0166', 0.9732755641599706)]"
C0011,"[('C0107', 0.9983885132666855), ('C0048', 0.9979820971230838), ('C0152', 0.9827744081951463)]"
C0012,"[('C0155', 0.9992813479856844), ('C0108', 0.9940190545597198), ('C0013', 0.9844521464361425)]"
C0013,"[('C0087', 0.9944857312437704), ('C0155', 0.9904027909641044), ('C0099', 0.9903311394495226)]"
C0014,"[('C0060', 0.9993546455561516), ('C0198', 0.9949024285941094), ('C0063', 0.9895689893886878)]"
C0015,"[('C0144', 0.9995067470324408), ('C0058', 0.9938882921021438), ('C0020', 0.9930831846476473)]"
C0016,"[('C0183', 0.9999215728611632), ('C0018', 0.9211133448437205), ('C0117', 0.915714262096098)]"
C0017,"[('C0075', 0.9798142121599286), ('C0124', 0.979198196195201), ('C0051', 0.9295910969957115)]"
C0018,"[('C0016', 0.9211133448437205), ('C0183', 0.916165618334741), ('C0079', 0.9026221302332799)]"
C0019,"[('C0172', 0.9999839210115643), ('C0111', 0.9346714888336564), ('C0103', 0.93165667957791)]"
C0020,"[('C0058', 0.9959529806446508), ('C0144', 0.9940286051657277), ('C0015', 0.9930831846476473)]"
